date_value,country_code,confirmed,deaths,stringency_actual,stringency,stringency_legacy,stringency_legacy_disp
2020-01-23,NIC,0,0,0,0,0,0
2020-01-23,NGA,0,0,5.56,5.56,9.52,9.52
2020-01-23,NER,0,0,0,0,0,0
2020-01-23,NAM,0,0,0,0,0,0
2020-01-23,MYS,0,0,11.11,11.11,14.29,14.29
2020-01-23,MWI,0,0,0,0,0,0
2020-01-23,MUS,0,0,0,0,0,0
2020-01-23,MRT,0,0,0,0,0,0
2020-01-23,MOZ,0,0,0,0,0,0
2020-01-23,MNG,0,0,11.11,11.11,14.29,14.29
2020-01-23,MMR,0,0,0,0,0,0
2020-01-23,MLT,0,0,0,0,0,0
2020-01-23,MLI,0,0,0,0,0,0
2020-01-23,MEX,0,0,0,0,0,0
2020-01-23,MDG,0,0,0,0,0,0
2020-01-23,MDA,0,0,0,0,0,0
2020-01-23,MCO,0,0,0,0,0,0
2020-01-23,MAR,0,0,0,0,0,0
2020-01-23,MAC,2,0,25,25,32.14,32.14
2020-01-23,LVA,0,0,0,0,0,0
2020-01-23,LUX,0,0,0,0,0,0
2020-01-23,LTU,0,0,0,0,0,0
2020-01-23,LSO,0,0,0,0,0,0
2020-01-23,LKA,0,0,0,0,0,0
2020-01-23,LIE,0,0,0,0,0,0
2020-01-23,LBY,0,0,0,0,0,0
2020-01-23,LBR,0,0,0,0,0,0
2020-01-23,LBN,0,0,0,0,0,0
2020-01-23,LAO,0,0,0,0,0,0
2020-01-23,GEO,0,0,0,0,0,0
2020-01-23,GBR,0,0,5.56,5.56,9.52,9.52
2020-01-23,GAB,0,0,5.56,5.56,9.52,9.52
2020-01-23,FRO,0,0,0,0,0,0
2020-01-23,FRA,0,0,2.78,2.78,3.57,3.57
2020-01-23,FJI,0,0,11.11,11.11,14.29,14.29
2020-01-23,FIN,0,0,0,0,0,0
2020-01-23,ETH,0,0,0,0,0,0
2020-01-23,EST,0,0,0,0,0,0
2020-01-23,ESP,0,0,0,0,0,0
